,time_minutes,total_time(minutes)
236,33.0,111.0
237,30.0,241.0
238,23.0,305.0
239,62.0,152.0
240,50.0,183.0
241,39.0,165.0
242,30.0,144.0
243,34.0,40.0
245,40.0,308.0
246,36.0,111.0
247,42.0,107.0
250,48.0,348.0
251,11.0,49.0
253,47.0,500.0
254,35.0,71.0
256,31.0,166.0
257,39.0,265.0
258,26.0,248.0
259,55.0,280.0
261,35.0,344.0
262,32.0,354.0
263,39.0,361.0
264,51.0,188.0
265,19.0,100.0
266,35.0,87.0
268,43.0,74.0
271,31.0,188.0
272,29.0,116.0
273,21.0,181.0
274,42.0,253.0
275,40.0,207.0
276,57.0,194.0
277,28.0,139.0
278,17.0,44.0
280,36.0,142.0
281,23.0,159.0
282,44.0,281.0
283,24.0,129.0
284,36.0,231.0
286,22.0,190.0
287,15.0,180.0
288,52.0,344.0
289,35.0,115.0
291,18.0,110.0
292,58.0,254.0
294,52.0,185.0
296,20.0,414.0
298,39.0,77.0
299,12.0,187.0
300,27.0,226.0
301,30.0,335.0
302,36.0,60.0
303,40.0,261.0
307,14.0,36.0
308,38.0,254.0
309,47.0,63.0
310,31.0,89.0
311,26.0,191.0
312,27.0,220.0
313,46.0,92.0
315,68.0,383.0
317,27.0,107.0
318,18.0,125.0
319,40.0,235.0
321,42.0,447.0
322,29.0,103.0
323,14.0,241.0
324,28.0,176.0
325,37.0,418.0
326,25.0,392.0
327,38.0,236.0
329,33.0,326.0
332,11.0,141.0
335,38.0,265.0
336,14.0,50.0
337,39.0,272.0
338,46.0,494.0
339,31.0,208.0
340,42.0,269.0
341,31.0,332.0
342,25.0,89.0
343,53.0,265.0
344,25.0,86.0
345,30.0,197.0
347,19.0,33.0
350,33.0,312.0
352,25.0,303.0
354,39.0,120.0
355,40.0,150.0
357,17.0,122.0
359,18.0,102.0
360,45.0,138.0
363,42.0,192.0
365,34.0,216.0
366,32.0,231.0
367,35.0,192.0
368,44.0,263.0
370,50.0,296.0
372,43.0,166.0
373,45.0,410.0
374,20.0,99.0
375,28.0,154.0
377,52.0,408.0
379,40.0,244.0
380,44.0,331.0
381,42.0,258.0
382,12.0,201.0
383,26.0,164.0
385,55.0,400.0
386,49.0,188.0
387,34.0,154.0
389,17.0,161.0
390,31.0,145.0
391,50.0,410.0
392,35.0,153.0
393,30.0,158.0
395,14.0,45.0
396,39.0,225.0
398,48.0,295.0
399,36.0,299.0
400,16.0,31.0
401,38.0,201.0
402,50.0,337.0
403,17.0,133.0
404,33.0,106.0
405,24.0,123.0
406,27.0,188.0
407,33.0,61.0
408,33.0,94.0
409,20.0,192.0
410,47.0,82.0
413,31.0,156.0
415,52.0,208.0
417,18.0,44.0
418,47.0,105.0
419,35.0,416.0
420,40.0,426.0
421,38.0,404.0
422,37.0,171.0
423,54.0,609.0
424,40.0,50.0
425,25.0,100.0
426,36.0,282.0
427,33.0,192.0
428,38.0,200.0
431,33.0,143.0
432,39.0,52.0
434,29.0,68.0
435,21.0,192.0
436,35.0,256.0
438,29.0,150.0
439,31.0,137.0
440,44.0,184.0
443,32.0,331.0
445,22.0,32.0
446,31.0,93.0
447,43.0,107.0
448,19.0,55.0
449,16.0,221.0
450,35.0,208.0
451,50.0,130.0
452,54.0,62.0
453,16.0,120.0
454,19.0,162.0
455,34.0,44.0
456,27.0,232.0
457,49.0,293.0
458,44.0,358.0
459,15.0,348.0
460,20.0,106.0
461,26.0,169.0
462,53.0,127.0
463,36.0,127.0
464,32.0,118.0
465,37.0,153.0
466,56.0,319.0
467,40.0,196.0
469,46.0,287.0
470,43.0,182.0
471,48.0,222.0
472,29.0,194.0
476,20.0,221.0
477,45.0,49.0
478,56.0,82.0
479,37.0,151.0
480,40.0,384.0
482,16.0,147.0
483,22.0,115.0
484,36.0,285.0
485,30.0,111.0
486,40.0,184.0
488,31.0,311.0
490,16.0,219.0
491,41.0,185.0
492,41.0,205.0
494,25.0,109.0
495,53.0,277.0
496,54.0,409.0
497,36.0,136.0
498,36.0,262.0
499,42.0,170.0
500,23.0,144.0
501,38.0,92.0
502,36.0,152.0
503,30.0,248.0
504,39.0,260.0
506,10.0,80.0
508,29.0,159.0
509,38.0,103.0
510,37.0,201.0
511,41.0,211.0
514,44.0,151.0
515,39.0,323.0
516,36.0,80.0
517,30.0,76.0
518,29.0,294.0
519,43.0,267.0
521,36.0,252.0
522,19.0,43.0
523,36.0,74.0
526,61.0,167.0
528,37.0,173.0
529,38.0,169.0
530,48.0,129.0
531,43.0,86.0
532,29.0,59.0
534,37.0,360.0
535,18.0,124.0
536,12.0,119.0
538,70.0,341.0
539,46.0,67.0
540,31.0,187.0
541,34.0,214.0
542,28.0,168.0
544,31.0,246.0
545,30.0,66.0
546,37.0,266.0
547,44.0,57.0
548,44.0,379.0
549,50.0,291.0
550,44.0,314.0
551,40.0,238.0
554,47.0,339.0
555,35.0,366.0
557,33.0,167.0
558,32.0,315.0
559,22.0,203.0
560,34.0,217.0
561,26.0,44.0
562,28.0,125.0
563,38.0,407.0
566,45.0,53.0
567,46.0,128.0
568,33.0,161.0
569,32.0,139.0
570,11.0,400.0
572,40.0,154.0
573,29.0,220.0
574,48.0,298.0
575,44.0,178.0
576,26.0,191.0
577,36.0,252.0
578,49.0,152.0
581,13.0,116.0
583,63.0,505.0
584,26.0,93.0
586,20.0,135.0
587,13.0,140.0
588,31.0,42.0
589,38.0,204.0
591,36.0,37.0
592,16.0,151.0
593,35.0,106.0
594,33.0,240.0
595,50.0,372.0
596,40.0,115.0
597,63.0,429.0
599,25.0,366.0
601,32.0,212.0
602,21.0,59.0
603,19.0,50.0
604,44.0,480.0
605,30.0,280.0
606,23.0,125.0
610,47.0,145.0
611,43.0,211.0
613,28.0,257.0
614,41.0,232.0
615,16.0,73.0
617,24.0,199.0
618,39.0,156.0
619,53.0,240.0
620,25.0,336.0
621,32.0,394.0
622,37.0,302.0
624,13.0,128.0
625,54.0,290.0
626,32.0,37.0
627,22.0,48.0
628,34.0,263.0
629,33.0,402.0
630,37.0,296.0
631,30.0,266.0
632,30.0,145.0
634,41.0,245.0
635,55.0,372.0
636,35.0,98.0
637,30.0,62.0
638,49.0,65.0
639,31.0,204.0
640,11.0,324.0
642,35.0,160.0
644,49.0,440.0
645,27.0,176.0
647,43.0,189.0
651,43.0,240.0
656,34.0,55.0
657,56.0,233.0
658,36.0,123.0
660,22.0,43.0
661,13.0,149.0
662,44.0,184.0
663,14.0,195.0
664,40.0,134.0
666,39.0,278.0
667,55.0,210.0
668,41.0,219.0
669,40.0,542.0
670,34.0,37.0
671,27.0,215.0
673,25.0,199.0
674,34.0,284.0
675,37.0,115.0
677,45.0,427.0
678,24.0,98.0
679,27.0,93.0
680,41.0,97.0
682,35.0,97.0
684,48.0,331.0
686,15.0,211.0
687,36.0,148.0
688,36.0,232.0
689,50.0,193.0
691,29.0,106.0
693,24.0,332.0
694,22.0,201.0
695,47.0,55.0
696,35.0,74.0
698,32.0,239.0
699,18.0,235.0
700,33.0,322.0
701,25.0,123.0
702,38.0,68.0
703,41.0,188.0
704,38.0,150.0
705,56.0,91.0
707,27.0,349.0
708,52.0,472.0
709,36.0,291.0
710,29.0,121.0
711,50.0,208.0
712,22.0,178.0
713,46.0,270.0
714,43.0,246.0
715,20.0,113.0
717,32.0,186.0
720,33.0,56.0
722,35.0,131.0
723,59.0,486.0
724,24.0,108.0
725,37.0,105.0
726,27.0,137.0
727,36.0,363.0
728,42.0,482.0
729,43.0,408.0
730,27.0,291.0
732,36.0,294.0
735,46.0,167.0
737,29.0,125.0
738,23.0,454.0
739,50.0,95.0
740,40.0,216.0
741,36.0,168.0
742,25.0,264.0
743,19.0,279.0
744,35.0,199.0
745,29.0,63.0
746,17.0,63.0
747,17.0,101.0
748,20.0,199.0
749,21.0,255.0
750,22.0,71.0
751,41.0,342.0
752,37.0,121.0
754,41.0,439.0
755,39.0,161.0
756,12.0,281.0
758,45.0,49.0
761,29.0,118.0
762,43.0,91.0
763,35.0,324.0
765,38.0,232.0
766,22.0,293.0
767,29.0,441.0
768,15.0,260.0
770,41.0,114.0
771,32.0,186.0
772,34.0,348.0
774,39.0,231.0
776,25.0,68.0
778,38.0,47.0
779,33.0,268.0
780,32.0,95.0
781,15.0,35.0
784,16.0,257.0
785,29.0,156.0
786,33.0,201.0
788,44.0,156.0
790,35.0,323.0
791,26.0,231.0
792,12.0,135.0
796,23.0,127.0
797,39.0,206.0
798,36.0,198.0
799,26.0,379.0
800,45.0,144.0
801,20.0,334.0
802,47.0,107.0
803,36.0,225.0
804,26.0,121.0
805,30.0,193.0
806,33.0,146.0
807,35.0,54.0
808,22.0,571.0
809,24.0,199.0
810,35.0,235.0
811,49.0,261.0
812,46.0,179.0
814,46.0,205.0
816,32.0,173.0
817,46.0,192.0
819,30.0,153.0
823,45.0,134.0
824,23.0,126.0
825,45.0,79.0
826,29.0,229.0
827,12.0,118.0
828,13.0,208.0
829,36.0,260.0
830,28.0,495.0
831,53.0,137.0
832,28.0,323.0
833,33.0,184.0
834,25.0,193.0
835,13.0,140.0
836,38.0,171.0
837,12.0,120.0
838,40.0,294.0
839,26.0,48.0
841,44.0,74.0
842,37.0,60.0
843,33.0,74.0
844,42.0,131.0
845,11.0,75.0
848,58.0,84.0
852,55.0,185.0
853,33.0,87.0
854,34.0,299.0
856,33.0,244.0
858,23.0,68.0
859,19.0,239.0
860,20.0,303.0
861,52.0,56.0
862,37.0,314.0
864,33.0,162.0
865,31.0,139.0
866,14.0,122.0
867,41.0,77.0
869,30.0,34.0
870,48.0,96.0
871,18.0,225.0
872,25.0,249.0
873,33.0,69.0
874,40.0,81.0
875,22.0,41.0
876,23.0,58.0
877,44.0,310.0
878,65.0,397.0
881,17.0,62.0
885,31.0,87.0
887,40.0,313.0
890,36.0,268.0
892,49.0,250.0
893,18.0,312.0
894,45.0,195.0
896,29.0,191.0
898,29.0,105.0
899,24.0,71.0
900,37.0,146.0
901,26.0,108.0
902,10.0,166.0
903,34.0,220.0
904,43.0,157.0
906,33.0,191.0
907,27.0,176.0
908,45.0,247.0
909,31.0,222.0
911,44.0,327.0
913,54.0,275.0
915,35.0,259.0
917,35.0,235.0
918,30.0,184.0
919,27.0,365.0
920,30.0,67.0
921,18.0,279.0
923,19.0,157.0
924,38.0,96.0
925,32.0,60.0
926,39.0,109.0
927,26.0,220.0
928,44.0,127.0
929,17.0,209.0
930,22.0,246.0
931,50.0,355.0
932,35.0,193.0
933,39.0,122.0
934,33.0,98.0
935,29.0,277.0
936,15.0,64.0
938,56.0,256.0
939,18.0,357.0
940,51.0,256.0
941,31.0,86.0
945,27.0,299.0
947,24.0,114.0
949,17.0,88.0
950,42.0,72.0
951,33.0,239.0
952,21.0,241.0
953,34.0,156.0
954,35.0,84.0
955,35.0,40.0
958,42.0,63.0
959,13.0,107.0
962,18.0,144.0
963,18.0,68.0
964,44.0,276.0
968,18.0,147.0
969,20.0,55.0
973,18.0,44.0
975,35.0,160.0
977,21.0,183.0
978,21.0,283.0
979,24.0,111.0
980,25.0,176.0
981,28.0,113.0
982,35.0,46.0
983,32.0,186.0
984,40.0,90.0
985,27.0,118.0
986,52.0,166.0
989,44.0,378.0
990,26.0,177.0
991,29.0,156.0
992,25.0,39.0
993,24.0,181.0
994,13.0,36.0
995,40.0,208.0
996,44.0,185.0
997,37.0,164.0
998,32.0,196.0
999,56.0,75.0
1000,22.0,87.0
1001,37.0,214.0
1003,18.0,139.0
1004,44.0,323.0
1006,34.0,247.0
1007,40.0,380.0
1008,24.0,148.0
1009,40.0,235.0
1010,23.0,154.0
1011,32.0,171.0
1014,27.0,182.0
1015,31.0,340.0
1016,30.0,247.0
1017,41.0,168.0
1018,42.0,85.0
1020,43.0,284.0
1021,30.0,428.0
1023,40.0,247.0
1024,19.0,167.0
1025,20.0,263.0
1026,70.0,318.0
1027,40.0,204.0
1029,17.0,66.0
1031,37.0,191.0
1032,29.0,108.0
1033,35.0,291.0
1034,32.0,228.0
1035,14.0,103.0
1037,17.0,160.0
1038,32.0,147.0
1040,38.0,210.0
1042,45.0,299.0
1043,26.0,138.0
1044,35.0,61.0
1045,40.0,180.0
1046,42.0,171.0
1047,41.0,165.0
1048,26.0,277.0
1050,13.0,189.0
1051,38.0,49.0
1052,25.0,112.0
1053,25.0,354.0
1054,31.0,37.0
1055,39.0,208.0
1056,38.0,283.0
1057,31.0,222.0
1058,33.0,161.0
1059,42.0,183.0
1060,35.0,232.0
1061,29.0,36.0
1062,34.0,148.0
1063,34.0,469.0
1064,46.0,212.0
1065,60.0,165.0
1066,34.0,97.0
1067,25.0,37.0
1068,43.0,187.0
1069,48.0,197.0
1070,28.0,138.0
1071,47.0,540.0
1072,21.0,49.0
1074,32.0,99.0
1075,40.0,143.0
1076,16.0,30.0
1077,40.0,184.0
1078,24.0,200.0
1079,26.0,250.0
1080,19.0,77.0
1081,44.0,339.0
1082,49.0,238.0
1083,23.0,557.0
1084,22.0,46.0
1085,16.0,30.0
1086,16.0,109.0
1087,34.0,200.0
1088,40.0,221.0
1089,30.0,239.0
1090,43.0,457.0
1093,26.0,135.0
1094,46.0,441.0
1095,24.0,257.0
1097,11.0,177.0
1098,31.0,126.0
1099,21.0,121.0
1100,28.0,74.0
1101,39.0,165.0
1102,33.0,307.0
1103,35.0,86.0
1104,29.0,240.0
1105,47.0,265.0
1106,58.0,337.0
1108,31.0,154.0
1109,12.0,59.0
1110,23.0,165.0
1111,23.0,164.0
1113,39.0,173.0
1114,44.0,466.0
1115,21.0,222.0
1117,16.0,19.0
1118,31.0,146.0
1120,27.0,329.0
1122,27.0,223.0
1124,45.0,144.0
1127,22.0,301.0
1128,36.0,200.0
1129,43.0,308.0
1131,30.0,172.0
1132,43.0,220.0
1133,32.0,239.0
1135,21.0,212.0
1136,45.0,242.0
1140,37.0,329.0
1141,39.0,311.0
1142,38.0,218.0
1143,61.0,251.0
1144,17.0,292.0
1145,47.0,216.0
1146,32.0,325.0
1147,47.0,319.0
1148,33.0,522.0
1149,26.0,79.0
1150,19.0,82.0
1152,28.0,205.0
1153,40.0,430.0
1154,40.0,337.0
1155,38.0,271.0
1156,38.0,349.0
1157,38.0,223.0
1158,36.0,110.0
1159,38.0,473.0
1160,48.0,212.0
1161,37.0,316.0
1164,44.0,176.0
1165,10.0,23.0
1166,33.0,189.0
1167,31.0,81.0
1168,53.0,549.0
1169,46.0,302.0
1170,35.0,365.0
1172,24.0,269.0
1173,23.0,127.0
1174,47.0,368.0
1175,42.0,245.0
1176,34.0,146.0
1178,36.0,173.0
1179,55.0,325.0
1180,26.0,378.0
1181,36.0,101.0
1182,59.0,515.0
1183,32.0,313.0
1186,50.0,135.0
1188,26.0,225.0
1189,31.0,158.0
1190,40.0,112.0
1192,27.0,250.0
1194,36.0,313.0
1197,15.0,25.0
1198,28.0,88.0
1199,36.0,59.0
1200,42.0,87.0
1201,25.0,193.0
1203,29.0,194.0
1207,52.0,311.0
1208,21.0,45.0
1211,33.0,375.0
1212,46.0,166.0
1213,33.0,455.0
1214,53.0,149.0
1217,20.0,117.0
1219,34.0,295.0
1220,39.0,162.0
1222,66.0,269.0
1223,25.0,98.0
1224,45.0,262.0
1225,25.0,75.0
1226,24.0,230.0
1227,31.0,93.0
1228,29.0,295.0
1231,17.0,130.0
1232,20.0,51.0
1233,46.0,88.0
1234,35.0,247.0
1235,25.0,86.0
1236,40.0,199.0
1239,32.0,262.0
1240,29.0,413.0
1241,32.0,183.0
1242,30.0,137.0
1243,42.0,167.0
1244,37.0,350.0
1245,27.0,269.0
1246,26.0,262.0
1247,62.0,308.0
1249,44.0,73.0
1250,37.0,231.0
1251,42.0,297.0
1252,48.0,327.0
1253,42.0,371.0
1254,32.0,282.0
1255,50.0,65.0
1256,42.0,183.0
1257,25.0,170.0
1258,49.0,153.0
1259,14.0,232.0
1260,52.0,120.0
1261,10.0,122.0
1262,47.0,424.0
1263,27.0,142.0
1264,30.0,308.0
1265,43.0,317.0
1266,35.0,187.0
1267,44.0,126.0
1269,42.0,240.0
1270,39.0,221.0
1271,40.0,106.0
1272,26.0,145.0
1273,54.0,106.0
1277,29.0,208.0
1279,55.0,358.0
1280,34.0,203.0
1281,57.0,342.0
1282,25.0,315.0
1283,38.0,181.0
1285,48.0,478.0
1286,40.0,364.0
1287,36.0,141.0
1288,17.0,35.0
1289,53.0,333.0
1291,36.0,139.0
1292,45.0,218.0
1293,49.0,163.0
1294,40.0,196.0
1296,42.0,219.0
1298,40.0,330.0
1300,46.0,73.0
1301,34.0,139.0
1302,26.0,322.0
1304,19.0,271.0
1306,25.0,65.0
1308,43.0,150.0
1310,21.0,54.0
1311,40.0,373.0
1312,28.0,73.0
1313,54.0,346.0
1314,28.0,34.0
1315,21.0,165.0
1316,32.0,144.0
1317,51.0,315.0
1318,28.0,105.0
1319,28.0,248.0
1320,33.0,237.0
1322,36.0,360.0
1323,32.0,388.0
1324,61.0,193.0
1326,27.0,337.0
1327,25.0,149.0
1328,22.0,191.0
1329,36.0,126.0
1331,14.0,102.0
1332,32.0,91.0
1333,27.0,95.0
1334,24.0,149.0
1335,52.0,251.0
1336,36.0,85.0
1337,35.0,117.0
1338,44.0,377.0
1340,34.0,329.0
1341,28.0,295.0
1344,14.0,337.0
1346,27.0,143.0
1347,49.0,353.0
1348,36.0,223.0
1349,23.0,209.0
1350,22.0,275.0
1351,49.0,272.0
1352,31.0,182.0
1354,32.0,195.0
1355,40.0,144.0
1356,18.0,141.0
1357,32.0,132.0
1358,34.0,168.0
1359,23.0,302.0
1360,48.0,177.0
1362,25.0,68.0
1364,24.0,417.0
1366,33.0,400.0
1367,27.0,148.0
1369,58.0,505.0
1372,50.0,298.0
1373,30.0,302.0
1374,40.0,128.0
1375,29.0,208.0
1377,22.0,307.0
1378,38.0,244.0
1379,45.0,259.0
1380,10.0,53.0
1381,40.0,75.0
1382,22.0,74.0
1384,44.0,270.0
1385,42.0,291.0
1386,29.0,117.0
1387,61.0,90.0
1388,29.0,232.0
1389,22.0,219.0
1390,30.0,368.0
1391,46.0,224.0
1392,35.0,207.0
1393,31.0,153.0
1394,24.0,69.0
1395,36.0,365.0
1396,23.0,39.0
1397,44.0,310.0
1398,31.0,233.0
1399,27.0,235.0
1400,42.0,114.0
1401,24.0,278.0
1403,16.0,401.0
1404,17.0,192.0
1405,25.0,61.0
1406,24.0,92.0
1407,26.0,153.0
1409,45.0,260.0
1411,22.0,249.0
1412,31.0,153.0
1413,62.0,416.0
1416,24.0,292.0
1417,33.0,223.0
1418,37.0,231.0
1419,37.0,324.0
1420,44.0,127.0
1421,43.0,235.0
1422,17.0,57.0
1423,22.0,70.0
1424,46.0,265.0
1425,48.0,129.0
1426,40.0,349.0
1428,33.0,143.0
1429,20.0,103.0
1433,52.0,225.0
1434,39.0,161.0
1440,44.0,196.0
1441,48.0,260.0
1442,35.0,152.0
1443,36.0,225.0
1444,26.0,95.0
1446,24.0,139.0
1447,15.0,57.0
1448,37.0,293.0
1450,13.0,72.0
1451,30.0,299.0
1452,31.0,93.0
1453,37.0,316.0
1455,52.0,82.0
1457,56.0,203.0
1458,60.0,378.0
1460,32.0,48.0
1462,40.0,54.0
1463,38.0,267.0
1465,39.0,44.0
1466,49.0,321.0
1469,21.0,94.0
1470,53.0,388.0
1471,29.0,155.0
1472,34.0,133.0
1473,43.0,382.0
1474,49.0,256.0
1478,35.0,228.0
1479,56.0,178.0
1481,24.0,196.0
1482,13.0,156.0
1483,29.0,355.0
1484,40.0,444.0
1485,35.0,300.0
1486,25.0,148.0
1487,36.0,169.0
1488,27.0,39.0
1489,57.0,63.0
1490,50.0,138.0
1491,34.0,124.0
1493,51.0,182.0
1494,49.0,183.0
1495,54.0,243.0
1496,60.0,143.0
1497,21.0,82.0
1499,31.0,270.0
